category_powersupplies,name_powersupplies,specifications_powersupplies,warranty_powersupplies,price_powersupplies
620W.-750W.,POWER SUPPLY (80+ WHITE) 750W THERMALTAKE TR2 S (PS-TRS-0750NNSAWE-H),750W / 80+WHITE / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 2xPCIe (6+2 Pin),3Y,1690
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W DTECH PW071A,750W / 80 PLUS BRONZE / Full Modular,3Y,1490
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W EINARE AXIS MASTER L1 Black (EXPS-AMH1-750-BK),750W / 80+Bronze / Semi-Modular / Length 150mm / 2xCPU(4+4 Pin) / 0x12VHPWR (16 Pin) / 3xPCIe (6+2 Pin),3Y,1490
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX,750W / 80 PLUS BRONZE / Non Modular / Length 160mm / 1xCPU / 2xPCIe (6+2 Pin),3Y,1550
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX RGB,750W / 80+BRONZE / Non Modular / Length 160mm / 1xCPU / 2xPCIe (6+2 Pin),3Y,1690
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W ITSONAS FROZEN,750W / 80 PLUS BRONZE / Non Modular / Length 150 / 2xCPU / 2xPCIe (6+2 Pin),5Y,1750
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W ANTEC ATOM B750,750W / 80 PLUS BRONZE / Non Modular / Length N/A / 2xCPU / 4xPCIe (6+2 Pin),3Y,1750
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W SEGOTEP BN750W ID PCIE 5.1 ATX3.1,750W / 80+BRONZE / Non Modular / Length 150mm / 2xCPU / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),3Y,1750
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W COOLER MASTER MWE V2 230V (MPE-7501-ACABW-BTH),750W / 80+BRONZE / Non Modular / Length 140mm / 2xCPU / 0xPCIe (12 Pin) / 4xPCIe (6+2 Pin),5Y,1790
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W GIGABYTE P750BS,750W / 80+Bronze / Non Modular / Length 140mm / 2xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 4xPCIe (6+2 Pin),3Y,1850
620W.-750W.,POWER SUPPLY (80+ BRONZE) 750W MSI MAG A750BN PCIE5,750W / 80 PLUS BRONZE / Non Modular,5Y,1990
