category_mainboards,name_mainboards,specifications_mainboards,socket_mainboards,warranty_mainboards,price_mainboards
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850M GAMING X WIFI6E DDR5 (REV. 1.0),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 2xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,6490
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI MAG B850M MORTAR WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xLAN 5Gb,Socket AM5,3Y,6990
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850M AORUS ELITE WIFI6E DDR5 (REV. 1.1),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI(Front) / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,7150
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850M AORUS ELITE WIFI6E ICE DDR5 (REV. 1.1),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI(Front) / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,7150
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASUS TUF GAMING B850M-PLUS DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,7320
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASUS TUF GAMING B850M-PLUS WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,7590
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850 PRO-A DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 4xM.2 Slots / ATX / 1xHDMI / 1xUSB Type-C(DP) / 1xLAN 2.5Gb,Socket AM5,3Y,5050
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI B850 GAMING PLUS WIFI6E DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,5990
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850 EAGLE WIFI6E DDR5 (REV. 1.0),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb / WiFi 6E,Socket AM5,3Y,6150
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI PRO B850-P WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,6650
