category_headsets,name_headsets,specifications_headsets,warranty_headsets,price_headsets
GAMING HEADSET,HEADSET SIGNO HP825 BLACK,USB / 20Hz-20kHz / Ear cushion : Leather / LED,1Y,490
GAMING HEADSET,HEADSET ONIKUMA X30 GAMING RGB 3.5mm BLACK (2.1),Aux 3.5mm / Stereo 2.1 / Speaker frequency response > 20 Hz-20 KHz,2Y,549
GAMING HEADSET,HEADSET FANTECH HG27 TWISTER (7.1),USB 2.0 / Surround 7.1 / Speaker Frequency Response : 30Hz-20kHz,2Y,550
GAMING HEADSET,HEADSET SIGNO HP829 MIXXER BLACK,USB / 20Hz-20kHz / Ear cushion : Leather / RGB,1Y,550
GAMING HEADSET,HEADSET EGA GH1 PRO BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / EGA Software Support,2Y,590
GAMING HEADSET,HEADSET FANTECH HG20 RGB CHIEF II (7.1),USB 2.0 / Surround 7.1 / Speaker Frequency Response : 20Hz-20kHz,2Y,590
GAMING HEADSET,HEADSET FANTECH MH88 TRINITY BLACK (2.1),AUX 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 20Hz-20kHz,2Y,590
GAMING HEADSET,HEADSET ONIKUMA X15 PRO RGB TYPEC IVORY (2.1),USB Type C / Stereo 2.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,2Y,590
GAMING HEADSET,HEADSET ONIKUMA X13 RGB BLACK (2.1),USB 2.0 / Aux 3.5 mm / Stereo 2.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,2Y,650
GAMING HEADSET,HEADSET ONIKUMA X15 PRO RGB SPECIAL EDITION BLACK (2.1),USB 2.0 / Wireless 2.4 Ghz / Bluetooth 5.0 / Surround 7.1 / Speaker frequency response : 20Hz-20KHz / Microphone frequency response 100Hz-10KHz / Software Support Armoury Crate,2Y,650
GAMING HEADSET,HEADSET SIGNO HP838 SPECTON RGB BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / Signo Software Support,2Y,749
GAMING HEADSET,HEADSET NUBWO X99 BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response : 20 Hz-20 KHz / Microphone Frequency Response :100 Hz-10 KHz / Software Nubwo Support,2Y,769
GAMING HEADSET,HEADSET FANTECH HG11 CAPTAIN RGB (7.1),USB 2.0 / Surround 7.1 / Speaker Frequency Response : 20Hz-20kHz,2Y,790
GAMING HEADSET,HEADSET NUBWO X902 BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz,2Y,790
