brand_cpu,name_cpu,benchmark_cpu,rank_cpu,value_cpu,socket_cpu,price_cpu,core_count,thread_count
Intel,Intel Core i5-4422E @ 1.80GHz,1907,3675,7.17,LGA 1150,8277.92,2,4
Intel,Intel Core i5-4430 @ 3.00GHz,4664,2446,59.29,LGA 1150,2448.2104,4,4
Intel,Intel Core i5-4430S @ 2.70GHz,4384,2519,23.13,LGA 1150,5898.1736,4,4
Intel,Intel Core i5-4440 @ 3.10GHz,4793,2424,53.98,LGA 1150,2763.456,4,4
Intel,Intel Core i5-4440S @ 2.80GHz,4373,2522,35.31,LGA 1150,3854.212,4,4
Intel,Intel Core i5-4460 @ 3.20GHz,4921,2401,95.35,LGA 1150,1606.1032,4,4
Intel,Intel Core i5-4460S @ 2.90GHz,4644,2457,29.03,LGA 1150,4977.644,4,4
Intel,Intel Core i5-4570 @ 3.20GHz,5234,2332,85.59,LGA 1150,1902.988,4,4
Intel,Intel Core i5-4570S @ 2.90GHz,5015,2383,25.21,LGA 1150,6191.324,4,4
Intel,Intel Core i5-4570T @ 2.90GHz,3217,2916,21.46,LGA 1150,4666.444,2,4
Intel,Intel Core i5-4570TE @ 2.70GHz,3105,2971,9.08,LGA 1150,10642.7288,2,4
Intel,Intel Core i5-4590 @ 3.30GHz,5377,2293,104.66,LGA 1150,1598.6344,4,4
Intel,Intel Core i5-4590S @ 3.00GHz,5124,2361,113.88,LGA 1150,1400.0888,4,4
Intel,Intel Core i5-4590T @ 2.00GHz,4066,2605,31.29,LGA 1150,4044.044,4,4
Intel,Intel Core i5-4670 @ 3.40GHz,5486,2269,84.54,LGA 1150,2019.3768,4,4
Intel,Intel Core i5-4670K @ 3.40GHz,5583,2242,111.67,LGA 1150,1556,4,4
Intel,Intel Core i5-4670R @ 3.00GHz,5233,2333,18.96,LGA 1150,8589.12,4,4
Intel,Intel Core i5-4670S @ 3.10GHz,5257,2328,24.68,LGA 1150,6628.56,4,4
Intel,Intel Core i5-4670T @ 2.30GHz,4489,2491,17.33,LGA 1150,8060.7024,4,4
Intel,Intel Core i5-4690 @ 3.50GHz,5594,2238,62.37,LGA 1150,2790.8416,4,4
Intel,Intel Core i5-4690K @ 3.50GHz,5686,2215,37.82,LGA 1150,4678.2696,4,4
Intel,Intel Core i5-4690S @ 3.20GHz,5487,2268,91.46,LGA 1150,1866.8888,4,4
Intel,Intel Core i5-6350HQ @ 2.30GHz,4255,2550,13.9,LGA 1151,9522.72,4,4
Intel,Intel Core i5-6400 @ 2.70GHz,5174,2348,91.13,LGA 1151,1766.6824,4,4
Intel,Intel Core i5-6400T @ 2.20GHz,4252,2552,26.57,LGA 1151,4978.8888,4,4
Intel,Intel Core i5-6442EQ @ 1.90GHz,4483,2493,17.93,LGA 1151,7780,4,4
Intel,Intel Core i5-650 @ 3.20GHz,2257,3439,37.64,LGA 1156,1865.644,2,4
Intel,Intel Core i5-6500 @ 3.20GHz,5602,2236,70.92,LGA 1151,2458.48,4,4
Intel,Intel Core i5-6500T @ 2.50GHz,4771,2428,36.72,LGA 1151,4044.044,4,4
Intel,Intel Core i5-6500TE @ 2.30GHz,4962,2391,10.13,LGA 1151,15247.244,4,4
Intel,Intel Core i5-660 @ 3.33GHz,2412,3340,16.09,LGA 1156,4666.444,2,4
Intel,Intel Core i5-6600 @ 3.30GHz,6069,2130,115.71,LGA 1151,1632.244,4,4
Intel,Intel Core i5-6600K @ 3.50GHz,6299,2088,79.79,LGA 1151,2456.924,4,4
Intel,Intel Core i5-6600T @ 2.70GHz,5572,2245,30.96,LGA 1151,5600.044,4,4
Intel,Intel Core i5-661 @ 3.33GHz,2387,3350,29.84,LGA 1156,2489.6,2,4
Intel,Intel Core i5-670 @ 3.47GHz,2553,3249,23.41,LGA 1156,3394.5696,2,4
Intel,Intel Core i5-680 @ 3.60GHz,2620,3206,8.45,LGA 1156,9652.4904,2,4
Intel,Intel Core i5-7400 @ 3.00GHz,5475,2274,60.6,LGA 1151,2811.692,4,4
Intel,Intel Core i5-7400T @ 2.40GHz,4702,2440,60.27,LGA 1151,2427.9824,4,4
Intel,Intel Core i5-7440EQ @ 2.90GHz,5711,2209,22.84,LGA 1151,7780,4,4
Intel,Intel Core i5-7442EQ @ 2.10GHz,4834,2417,19.34,LGA 1151,7780,4,4
Intel,Intel Core i5-750 @ 2.67GHz,2547,3256,52.41,LGA 1156,1512.1208,4,4
Intel,Intel Core i5-7500 @ 3.40GHz,6032,2142,94.08,LGA 1151,1995.4144,4,4
Intel,Intel Core i5-7500T @ 2.70GHz,5232,2334,40.12,LGA 1151,4058.9816,4,4
Intel,Intel Core i5-760 @ 2.80GHz,2676,3172,27.29,LGA 1156,3051.316,4,4
Intel,Intel Core i5-7600 @ 3.50GHz,6580,2024,102.88,LGA 1151,1990.4352,4,4
Intel,Intel Core i5-7600K @ 3.80GHz,6819,1980,110.26,LGA 1151,1924.4608,4,4
Intel,Intel Core i5-7600T @ 2.80GHz,5815,2182,39.31,LGA 1151,4602.9592,4,4
Intel,Intel Core i5-7640X @ 4.00GHz,7096,1927,83.14,LGA 1151,2656.4032,4,4
Intel,Intel Core i5-8365UE @ 1.60GHz,5504,2265,18.53,LGA 1151v2,9242.64,4,8
Intel,Intel Core i5-8400 @ 2.80GHz,9231,1652,75.1,LGA 1151v2,3825.2704,6,6
Intel,Intel Core i5-8400T @ 1.70GHz,7418,1870,65.43,LGA 1151v2,3528.0744,6,6
Intel,Intel Core i5-8500 @ 3.00GHz,9513,1618,110.77,LGA 1151v2,2672.5856,6,6
Intel,Intel Core i5-8500B @ 3.00GHz,8870,1691,46.2,LGA 1151v2,5975.04,6,6
Intel,Intel Core i5-8500T @ 2.10GHz,7727,1822,51.86,LGA 1151v2,4636.88,6,6
Intel,Intel Core i5-8600 @ 3.10GHz,9952,1581,114.4,LGA 1151v2,2707.1288,6,6
Intel,Intel Core i5-8600K @ 3.60GHz,10141,1563,121.59,LGA 1151v2,2595.408,6,6
Intel,Intel Core i5-8600T @ 2.30GHz,9184,1661,45.92,LGA 1151v2,6223.6888,6,6
Intel,Intel Core i5-9300HF @ 2.40GHz,7246,1899,28.98,LGA 1151v2,7780,4,8
Intel,Intel Core i5-9400 @ 2.90GHz,9373,1637,85.99,LGA 1151v2,3392.08,6,6
Intel,Intel Core i5-9400F @ 2.90GHz,9461,1622,86.8,LGA 1151v2,3392.08,6,6
Intel,Intel Core i5-9400T @ 1.80GHz,8148,1766,44.77,LGA 1151v2,5663.84,6,6
Intel,Intel Core i5-9500 @ 3.00GHz,9853,1589,64.68,LGA 1151v2,4740.5096,6,6
Intel,Intel Core i5-9500E @ 3.00GHz,9104,1666,47.42,LGA 1151v2,5975.04,6,6
Intel,Intel Core i5-9500F @ 3.00GHz,9983,1575,73.14,LGA 1151v2,4247.2576,6,6
Intel,Intel Core i5-9500T @ 2.20GHz,8062,1776,41.99,LGA 1151v2,5975.04,6,6
Intel,Intel Core i5-9500TE @ 2.20GHz,9772,1599,50.9,LGA 1151v2,5975.04,6,6
Intel,Intel Core i5-9600 @ 3.10GHz,10355,1548,87.43,LGA 1151v2,3685.8528,6,6
Intel,Intel Core i5-9600K @ 3.70GHz,10654,1527,73.64,LGA 1151v2,4502.1304,6,6
Intel,Intel Core i5-9600KF @ 3.70GHz,10644,1528,87.04,LGA 1151v2,3805.976,6,6
Intel,Intel Core i5-9600T @ 2.30GHz,9590,1613,45.02,LGA 1151v2,6628.56,6,6
Intel,Intel Core i7-10700 @ 2.90GHz,16043,1159,53.66,LGA 1200,9304.88,8,16
Intel,Intel Core i7-10700E @ 2.90GHz,16086,1155,48.75,LGA 1200,10269.6,8,16
Intel,Intel Core i7-10700F @ 2.90GHz,16099,1154,65.71,LGA 1200,7624.4,8,16
Intel,Intel Core i7-10700K @ 3.80GHz,18541,1003,47.92,LGA 1200,12041.2616,8,16
Intel,Intel Core i7-10700KF @ 3.80GHz,18352,1017,84.73,LGA 1200,6740.2808,8,16
Intel,Intel Core i7-10700T @ 2.00GHz,12904,1368,47.97,LGA 1200,8371.28,8,16
Intel,Intel Core i7-10700TE @ 2.00GHz,13505,1324,40.92,LGA 1200,10269.6,8,16
Intel,Intel Core i7-11700 @ 2.50GHz,20642,884,53.74,LGA 1200,11953.192,8,16
Intel,Intel Core i7-11700F @ 2.50GHz,20783,874,86.24,LGA 1200,7499.6088,8,16
Intel,Intel Core i7-11700K @ 3.60GHz,24344,709,94.36,LGA 1200,8028.96,8,16
Intel,Intel Core i7-11700KF @ 3.60GHz,23824,729,79.68,LGA 1200,9304.88,8,16
Intel,Intel Core i7-11700T @ 1.40GHz,15308,1196,47.39,LGA 1200,10051.76,8,16
Intel,Intel Core i7-11850HE @ 2.60GHz,20111,921,45.71,LGA 1200,13692.8,8,16
Intel,Intel Core i7-12700,29989,515,67.59,LGA 1700,13807.944,12,20
Intel,Intel Core i7-12700E,28437,557,47.4,LGA 1700,18670.7552,12,20
Intel,Intel Core i7-12700F,30310,505,106.36,LGA 1700,8868.8888,12,20
Intel,Intel Core i7-12700K,34317,410,83.91,LGA 1700,12728.08,12,20
Intel,Intel Core i7-12700KF,34040,413,126.55,LGA 1700,8370.9688,12,20
Intel,Intel Core i7-12700T,21235,851,62.64,LGA 1700,10549.68,12,20
Intel,Intel Core i7-12700TE,19946,931,57.98,LGA 1700,10705.28,12,20
Intel,Intel Core i7-12800HE,26096,639,51.57,LGA 1700,15746.72,14,20
Intel,Intel Core i7-13700,36193,384,79.41,LGA 1700,14183.2512,16,24
Intel,Intel Core i7-13700E,33834,419,86.75,LGA 1700,12136.8,16,24
